iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
47.0,-0.14210355281829834,-0.08187380654319297,-0.23829992140584388,0.0,-0.14210355281829834,-0.025820557338496048,-0.25418658283290013,0.0,-0.14737452566623688,0.12879151105880737,5.108630674556848e-131,-0.25418658283290013,0.0,-0.16101668775081635,0.13651025295257568
48.0,-0.14241182804107666,-0.12517477995725115,-0.23862413898598792,0.0,-0.14241182804107666,-0.02844587576632597,-0.25418658283290013,0.0,-0.15720900893211365,-0.15446116030216217,2.1552826143296387e-130,-0.25418658283290013,0.0,-0.16342639923095703,0.118013896048069
49.0,-0.14253032207489014,-0.5974740945172412,-0.23893538786292617,0.0,-0.14253032207489014,-0.02542783483862877,-0.25418658283290013,0.0,-0.14833693206310272,0.12245617061853409,6.426142277456759e-136,-0.25418658283290013,0.0,-0.14809370040893555,-0.11594635248184204
50.0,-0.14259447157382965,-0.6394329930855283,-0.2392344309015531,0.0,-0.14259447157382965,-0.022298775905487584,-0.25418658283290013,0.0,-0.1458016335964203,0.13415417075157166,1.9750581466992594e-135,-0.25418658283290013,0.0,-0.15763545036315918,-0.1361546516418457
51.0,-0.1429366171360016,-0.6819326744161369,-0.23952197228484826,0.0,-0.1429366171360016,-0.024523705673905518,-0.25418658283290013,0.0,-0.1603858470916748,-0.13799512386322021,1.0895026240294923e-134,-0.25418658283290013,0.0,-0.16588333249092102,-0.15790295600891113
52.0,-0.14332781732082367,-0.6594079945078659,-0.23979866304990585,0.0,-0.14332781732082367,-0.026679264908691623,-0.25418658283290013,0.0,-0.16367055475711823,-0.13876834511756897,7.3999677987043035e-140,-0.25418658283290013,0.0,-0.1650414615869522,-0.1518179476261139
53.0,-0.1438295990228653,-0.09485113664688066,-0.24006510600885023,0.0,-0.1438295990228653,-0.024035868407399567,-0.25418658283290013,0.0,-0.17042365670204163,0.1160641461610794,4.835496719554924e-145,-0.25418658283290013,0.0,-0.15161794424057007,0.1294611692428589
54.0,-0.1438949704170227,-0.6244930334366281,-0.24032186013292386,0.0,-0.1438949704170227,-0.02116174494678324,-0.25418658283290013,0.0,-0.14742504060268402,0.1340409219264984,1.0796167022582701e-144,-0.25418658283290013,0.0,-0.1583651751279831,-0.14639364182949066
55.0,-0.14404162764549255,-0.6048190753974045,-0.24056944446685194,0.0,-0.14404162764549255,-0.01831913140735456,-0.25418658283290013,0.0,-0.15210764110088348,0.13802461326122284,5.921869358990853e-144,-0.25418658283290013,0.0,-0.14581426978111267,-0.14703984558582306
56.0,-0.14431709051132202,-0.5411287727989922,-0.24080834163116857,0.0,-0.14431709051132202,-0.015937868963208115,-0.25418658283290013,0.0,-0.15974369645118713,0.11741282790899277,3.964174906440401e-143,-0.25418658283290013,0.0,-0.14179477095603943,-0.11876250803470612
